U10,V10
1.903484398,6.902682284
4.238744932,6.499459139
3.33434408,2.365276382
2.458759921,-2.828512651
-2.318161249,-4.758714354
-2.162994436,-3.567373243
-1.709685675,-5.602962814
-6.076523125,-4.483789482
-3.883129391,-3.124056888
-5.163255598,-2.765509035
-3.792245972,-3.602884373
-4.234471389,-7.518272753
-6.019998072,-4.70716594
-4.728788522,-4.419640345
-4.376338189,-4.255830943
-4.281021433,-2.230551055
-4.309838127,0.658451137
-4.975947088,2.975838701
-2.900036797,6.534970268
1.621967466,6.221097706
3.189152276,6.08248975
4.744145409,-0.264838223
0.367332949,-5.925999538
